T00007	eco	Escherichia coli K-12 MG1655
T08034	aarc	Agromyces archimandritae
T08161	amau	Agromyces marinus
T08198	asoi	Agromyces soli
T04435	cart	Cryobacterium arcticum
T04908	cry	Cryobacterium sp. LW097
T04797	cphy	Cnuibacter physcomitrellae
T05175	amin	Aurantimicrobium minutum
T05480	aum	Aurantimicrobium photophilum
T05539	auw	Aurantimicrobium sp. MWH-Uga1
T05334	psai	Pontimonas salivibrio
T05359	malk	Microcella alkaliphila
T05409	myl	Mycetocola zhujimingii
T08087	mspo	Mycetocola spongiae
T05414	salc	Salinibacterium hongtaonis
T05816	sala	Salinibacterium sp. UTAS2018
T06151	sald	Salinibacterium sp. dk2585
T05558	hum	Humibacter sp. BT305
T06119	huw	Humibacter ginsenosidimutans
T05660	gry	Gryllotalpicola protaetiae
T05661	lyd	Protaetiibacter intestinalis
T06178	lyk	Protaetiibacter larvae
T05731	plap	Plantibacter sp. PA-3-X8
T05802	leu	Leucobacter muris
T05843	ltr	Leucobacter triazinivorans
T06501	leb	Leucobacter coleopterorum
T06817	ldn	Leucobacter denitrificans
T07181	lvi	Leucobacter viscericola
T07184	lins	Leucobacter insecticola
T08001	llut	Leucobacter luti
T05973	agg	Agrococcus sp. SGAir0287
T06401	mant	Marisediminicola antarctica
T06594	hea	Herbiconiux sp. SALV-R1
T06748	frn	Frigoribacterium sp. NBH87
T06751	gln	Glaciihabitans sp. INWT7
T06824	chre	Chryseoglobus sp. 28M-23
T07018	agx	Agreia sp. COWG
T07261	subt	Subtercola sp. PAMC28395
T08409	suba	Subtercola sp. AK-R2A1-2
T07344	psev	Pseudoclavibacter triregionum
T08132	gsd	Gulosibacter sediminis
T00421	art	Arthrobacter sp. FB24
T02215	arr	Arthrobacter sp. Rue61a
T03487	arm	Arthrobacter sp. PAMC 25486
T04078	arl	Arthrobacter sp. LS16
T04085	are	Arthrobacter sp. ERGS1:01
T04095	aaq	Arthrobacter alpinus R3.8
T04228	arw	Arthrobacter alpinus A3
T04181	arh	Arthrobacter sp. Hiyo8
T04187	ary	Arthrobacter sp. YC-RL1
T04477	arz	Arthrobacter sp. ATCC 21022
T05053	aru	Arthrobacter sp. U41
T05056	arq	Arthrobacter sp. QXT-31
T05171	arn	Arthrobacter sp. YN
T05201	arx	Arthrobacter sp. ZXY-2
T05322	acry	Arthrobacter crystallopoietes
T05450	arth	Arthrobacter sp. PGP41
T06052	artp	Arthrobacter sp. PAMC25564
T06606	acit	Arthrobacter citreus
T07056	aagi	Arthrobacter agilis
T07979	ajg	Arthrobacter jiangjiafuii
T08124	asun	Arthrobacter sunyaminii
T08235	asuf	Arthrobacter sulfonylureivorans
T08405	arty	Arthrobacter sp. Hiyo4
T03775	ari	Psychromicrobium lacuslunae
T00447	aau	Paenarthrobacter aurescens
T06726	pue	Paenarthrobacter ureafaciens
T08055	pnv	Paenarthrobacter nicotinovorans
T00834	ach	Pseudarthrobacter chlorophenolicus
T01435	apn	Pseudarthrobacter phenanthrenivorans
T04210	psul	Pseudarthrobacter sulfonivorans
T06121	psni	Pseudarthrobacter sp. NIBRBAC000502771
T06403	psey	Pseudarthrobacter psychrotolerans
T01320	aai	Glutamicibacter arilaitensis
T04229	gar	Glutamicibacter halophytocola
T05997	gcr	Glutamicibacter creatinolyticus
T06225	glu	Glutamicibacter sp. ZJUTW
T07442	gpr	Glutamicibacter protophormiae
T08378	gmi	Glutamicibacter mishrai
T08403	gmy	Glutamicibacter mysorens
T00641	rsa	Renibacterium salmoninarum
T00701	krh	Kocuria rhizophila
T04045	kpl	Kocuria palustris
T04206	kfv	Kocuria flava
T05866	kii	Kocuria indica
T06074	krs	Kocuria rosea
T06521	kod	Kocuria sp. KD4
T06882	kvr	Kocuria varians
T00918	mlu	Micrococcus luteus
T06141	mick	Micrococcus sp. KBS0714
T08329	myu	Micrococcus yunnanensis
T01144	rmu	Rothia mucilaginosa
T01343	rdn	Rothia dentocariosa
T05268	raj	Rothia aeria
T06818	rter	Rothia terrae
T06930	rama	Rothia amarae
T06977	rkr	Rothia kristinae
T04286	satk	Sinomonas atrocyanea
T04559	nae	Neomicrococcus aestuarii
T05590	aul	Auritidibacter sp. NML130574
T05972	cig	Citricoccus sp. SGAir0253
T07362	paey	Paeniglutamicibacter sp. Y32M11
T00893	bcv	Beutenbergia cavernae
T00965	bfa	Brachybacterium faecium
T04713	brx	Brachybacterium sp. P6-10-X1
T04950	brv	Brachybacterium avium
T05099	bgg	Brachybacterium ginsengisoli
T05108	brz	Brachybacterium vulturis
T05573	bsau	Brachybacterium saurashtrense
T06008	brr	Brachybacterium sp. SGAir0954
T08303	bki	Brachybacterium kimchii
T04434	dva	Dermabacter vaginalis
T06191	djj	Dermabacter jinjuensis
T00972	jde	Jonesia denitrificans
T00974	kse	Kytococcus sedentarius
T03223	dni	Dermacoccus nishinomiyaensis
T06197	day	Dermacoccus abyssi
T08446	derm	Dermacoccus sp. PAMC28757
T04024	lmoi	Luteipulveratus mongoliensis
T07124	yim	Yimella sp. cx-51
T07800	alx	Allobranchiibius sp. GilTou73
T01135	xce	Xylanimonas cellulosilytica
T05814	xyl	Xylanimonas allomyrinae
T05815	xya	Xylanimonas protaetiae
T01520	iva	Isoptericola variabilis
T04384	ido	Isoptericola dokdonensis
T04804	cet	Cellulosimicrobium sp. TH-20
T04858	cceu	Cellulosimicrobium cellulans
T01214	ske	Sanguibacter keddieii
T06485	sanw	Sanguibacter sp. HDW7
T01230	cfl	Cellulomonas flavigena
T01490	cfi	Cellulomonas fimi
T01537	cga	Cellulomonas gilvus
T04985	cez	Cellulomonas sp. PSBB021
T05988	celz	Cellulomonas shaoxiangyii
T06322	cej	Cellulomonas sp. JZ18
T06411	celh	Cellulomonas sp. H30R-01
T07886	cira	Cellulomonas iranensis
T08423	cpal	Cellulomonas palmilyticum
T08459	celc	Cellulomonas sp. C5510
T06124	oek	Oerskovia sp. KBS0722
T06271	psei	Pseudactinotalea sp. HY158
T01385	ica	Intrasporangium calvum
T04014	ars	Arsenicicoccus sp. oral taxon 190
T04569	jte	Janibacter indicus
T05853	jli	Janibacter limosus
T06451	jme	Janibacter melonis
T08461	jay	Janibacter sp. YB324
T06295	teh	Tetrasphaera sp. HKS02
T06484	phw	Phycicoccus sp. HDW14
T06776	pei	Phycicoccus endophyticus
T04436	serj	Serinicoccus hydrothermalis
T06221	serw	Ornithinimicrobium pratense
T05559	orn	Ornithinimicrobium avium
T06094	orz	Ornithinimicrobium ciconiae
T04319	bly	Brevibacterium linens BS258
T04775	blin	Brevibacterium aurantiacum
T05958	bri	Brevibacterium sp. CS2
T06487	blut	Brevibacterium luteolum
T06973	bcau	Brevibacterium casei
T05038	dco	Dermatophilus congolensis
T07017	aus	Austwickia sp. Fred_18-Q3-R57-64_BATAC.85v2
T06026	gez	Georgenia wutianyii
T07730	gyu	Georgenia yuyongxinii
T06878	halt	Ruania alkalisoli
T08257	rhal	Ruania halotolerans
T08275	rsua	Ruania suaedae
T08088	dem	Demequina sp. TMPB413
T00188	pac	Cutibacterium acnes KPA171202
T01215	pak	Cutibacterium acnes SK137
T01654	pav	Cutibacterium acnes TypeIA2 P.acn17
T01655	pax	Cutibacterium acnes TypeIA2 P.acn31
T01656	paz	Cutibacterium acnes TypeIA2 P.acn33
T01971	paw	Cutibacterium acnes 266
T01972	pad	Cutibacterium acnes subsp. defendens ATCC 11828
T02065	pcn	Cutibacterium acnes 6609
T02330	pacc	Cutibacterium acnes C1
T02638	pach	Cutibacterium acnes HL096PA1
T03470	pacn	Cutibacterium acnes hdn-1
T04624	cacn	Cutibacterium acnes KCOM 1861 (= ChDC B594)
T02632	pra	Cutibacterium avidum
T04515	prl	Cutibacterium modestum
T05425	cgrn	Cutibacterium granulosum
T01252	pfr	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1
T03860	pfre	Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
T05713	pacd	Propionibacterium acidifaciens
T06637	paus	Propionibacterium australiense
T02180	ppc	Pseudopropionibacterium propionicum
T07339	arub	Arachnia rubra
T02345	pbo	Acidipropionibacterium acidipropionici ATCC 4875
T04523	aaci	Acidipropionibacterium acidipropionici CGMCC 1.2230
T05538	acij	Acidipropionibacterium virtanenii
T05836	aji	Acidipropionibacterium jensenii
T01535	mph	Microlunatus phosphovorus
T06101	mik	Microlunatus elymi
T06297	micg	Microlunatus sp. Gsoil 973
T04688	tfl	Tessaracoccus flavus
T04703	tfa	Tessaracoccus flavescens
T04732	tes	Tessaracoccus aquimaris
T04747	tez	Tessaracoccus sp. T2.5-30
T06774	tdf	Tessaracoccus defluvii
T06975	tla	Tessaracoccus lapidicaptus
T06259	rain	Raineyella fluvialis
T06483	prv	Propioniciclava coleopterorum
T07112	brt	Propioniciclava sp. MC1595
T00443	nca	Nocardioides sp. JS614
T04431	ndk	Nocardioides dokdonensis
T05931	noy	Nocardioides euryhalodurans
T06163	noi	Nocardioides jishulii
T06354	noo	Nocardioides sp. S-1144
T05939	ndp	Nocardioides daphniae
T06627	nsn	Nocardioides seonyuensis
T06654	nbe	Nocardioides baekrokdamisoli
T07000	nano	Nocardioides anomalus
T07004	nmes	Nocardioides mesophilus
T07236	naro	Nocardioides aromaticivorans
T07459	npi	Nocardioides piscis
T07580	naqu	Nocardioides aquaticus
T07669	nro	Nocardioides rotundus
T07822	noq	Nocardioides okcheonensis
T08149	ncq	Nocardioides coralli
T08184	npc	Nocardioides panacisoli
T08276	nps	Nocardioides panacis
T03528	psim	Pimelobacter simplex
T04236	aer	Aeromicrobium erythreum
T05410	aez	Aeromicrobium chenweiae
T05642	aeb	Aeromicrobium sp. A1-2
T06272	aef	Aeromicrobium yanjiei
T05338	mgg	Micropruina glycogenica
T06740	muz	Mumia sp. ZJ1417
T01155	kfl	Kribbella flavida
T06749	kqi	Kribbella qitaiheensis
T00265	tfu	Thermobifida fusca
T08032	thao	Thermobifida halotolerans
T08159	talx	Thermobifida alba
T01248	nda	Nocardiopsis dassonvillei
T02218	nal	Nocardiopsis alba
T05022	ngv	Nocardiopsis gilva
T06721	nfe	Nocardiopsis flavescens
T08285	nex	Nocardiopsis exhalans
T05863	strr	Streptomonospora litoralis
T07850	saiu	Spiractinospora alimapuensis
T01127	tcu	Thermomonospora curvata
T06213	actw	Actinomadura sp. WMMB 499
T07938	agra	Actinomadura graeca
T01137	sro	Streptosporangium roseum
T04759	noa	Nonomuraea sp. ATCC 55076
T06257	now	Nonomuraea nitratireducens
T07466	ncx	Nonomuraea coxensis
T07782	ngn	Nonomuraea gerenzanensis
T01236	tbi	Thermobispora bispora
T00320	fra	Frankia casuarinae
T00608	fre	Frankia sp. EAN1pec
T01354	fri	Frankia inefficax
T00384	fal	Frankia alni
T01530	fsy	Candidatus Frankia datiscae
T00426	ace	Acidothermus cellulolyticus
T00991	nml	Nakamurella multipartita
T05729	nak	Nakamurella antarctica
T01163	gob	Geodermatophilus obscurus
T01752	bsd	Blastococcus saxobsidens
T08406	blap	Blastococcus sp. PRF04-17
T02167	mmar	Modestobacter marinus
T00562	kra	Kineococcus radiotolerans
T00492	sen	Saccharopolyspora erythraea
T06538	sacg	Saccharopolyspora sp. ASAGF58
T00980	svi	Saccharomonospora viridis
T05928	sacc	Saccharomonospora xinjiangensis
T01269	amd	Amycolatopsis mediterranei U32
T01822	amn	Amycolatopsis mediterranei S699
T02190	amm	Amycolatopsis mediterranei S699
T02804	amz	Amycolatopsis mediterranei RB
T02678	aoi	Amycolatopsis keratiniphila
T03225	aja	Amycolatopsis japonica
T03230	amq	Amycolatopsis methanolica
T05278	amyc	Amycolatopsis sp. AA4
T05296	amyb	Amycolatopsis sp. BJA-103
T05547	aab	Amycolatopsis albispora
T06270	amyy	Amycolatopsis sp. YIM 10
T06703	aori	Amycolatopsis orientalis
T07896	aacd	Amycolatopsis acidiphila
T08335	aprt	Amycolatopsis pretoriensis
T01479	pdx	Pseudonocardia dioxanivorans
T04051	psea	Pseudonocardia sp. AL041005-10
T04054	psee	Pseudonocardia sp. EC080625-04
T04082	pseh	Pseudonocardia sp. HH130629-09
T04146	pseq	Pseudonocardia sp. EC080610-09
T04234	pecq	Pseudonocardia sp EC080619-01
T04486	phh	Pseudonocardia sp. HH130630-07
T06156	paut	Pseudonocardia autotrophica
T07210	pbro	Pseudonocardia broussonetiae
T05092	apre	Actinosynnema pretiosum
T00957	ami	Actinosynnema mirum
T02404	sesp	Saccharothrix espanaensis
T06258	ssyi	Saccharothrix syringae
T03039	kal	Kutzneria albida
T04088	kphy	Kibdelosporangium phytohabitans
T04448	led	Lentzea guizhouensis
T04472	ahm	Actinoalloteichus hymeniacidonis
T04619	acti	Actinoalloteichus sp. GBA129-24
T04639	acad	Actinoalloteichus fjordicus
T04975	ahg	Actinoalloteichus hoggarensis
T05306	acta	Actinoalloteichus sp. AHMU CJ021
T04489	alo	Alloactinosynnema sp. L-07
T04988	pmad	Prauserella marina
T06288	sace	Allosaccharopolyspora coralli
T08397	actu	Actinokineospora sp. UTMC 2448
T00504	stp	Salinispora tropica
T00613	saq	Salinispora arenicola
T01296	mau	Micromonospora aurantiaca
T01379	mil	Micromonospora sp. L5
T05583	micb	Micromonospora sp. B006
T05651	mtua	Micromonospora tulbaghiae
T06145	mich	Micromonospora sp. HM134
T06293	mtem	Micromonospora terminaliae
T06722	mcab	Micromonospora carbonacea
T06946	msag	Micromonospora sagamiensis
T01471	vma	Micromonospora maris
T06957	mcra	Micromonospora craniellae
T02044	ase	Actinoplanes sp. SE50/110
T01795	ams	Actinoplanes missouriensis
T02655	actn	Actinoplanes sp. N902-109
T02892	afs	Actinoplanes friuliensis
T05392	acts	Actinoplanes sp. SE50
T07429	aih	Actinoplanes ianthinogenes
T08315	actr	Actinoplanes sp. NBRC 14428
T05048	plk	Plantactinospora sp. KBS50
T05377	plab	Plantactinospora sp. BC1
T05391	plat	Plantactinospora sp. BB1
T06516	pfla	Phytohabitans flavus
T06545	psuu	Phytohabitans suffuscus
T06958	ver	Verrucosispora sp. NA02020
T07045	atl	Actinocatenispora thailandica
T07446	aser	Actinocatenispora sera
T07190	pry	Polymorphospora rubra
T07191	cati	Catellatospora sp. IY07-71
T07478	dvc	Dactylosporangium vinaceum
T08473	dfu	Dactylosporangium fulvum
T07914	nhy	Natronosporangium hydrolyticum
T08133	ccaz	Couchioplanes caeruleus
T00967	cai	Catenulispora acidiphila
T01194	sna	Stackebrandtia nassauensis
T07203	nav	Natronoglycomyces albus
T07425	gly	Glycomyces sp. TRM65418
T01242	ahe	Arcanobacterium haemolyticum
T06546	arca	Arcanobacterium sp. 2701
T07205	apho	Arcanobacterium phocisimile
T08401	apii	Arcanobacterium pinnipediorum
T01257	mcu	Mobiluncus curtisii
T03070	tpy	Trueperella pyogenes TP6375
T03579	tpyo	Trueperella pyogenes TP8
T05959	tbw	Trueperella bialowiezensis
T07390	tpec	Trueperella pecoris
T03214	asg	Actinotignum schaalii
T05430	actt	Actinobaculum sp. 313
T04027	amy	Schaalia meyeri
T05977	soo	Schaalia odontolytica
T07393	stuc	Schaalia turicensis
T04083	acq	Actinomyces sp. oral taxon 414
T04280	aos	Actinomyces oris
T04288	ard	Actinomyces radicidentis
T04911	actp	Actinomyces gaoshouyii
T05279	actc	Actinomyces sp. Chiba101
T05399	acto	Actinomyces sp. oral taxon 897
T05566	ane	Actinomyces naeslundii
T06068	ahw	Actinomyces howellii
T06433	actz	Actinomyces sp. 432
T06659	air	Actinomyces israelii
T06783	asla	Actinomyces slackii
T06789	avc	Actinomyces viscosus
T07198	awe	Actinomyces weissii
T07249	amam	Actinomyces marmotae
T07562	arep	Actinomyces respiraculi
T08387	agh	Actinomyces graevenitzii
T08424	actm	Actinomyces sp. zg-332
T04541	avu	Boudabousia tangfeifanii
T05752	fsl	Flaviflexus salsibiostraticola
T05772	flh	Flaviflexus ciconiae
T06883	wik	Nanchangia anserum
T06963	fvg	Fannyhessea vaginae
T00094	blo	Bifidobacterium longum NCC2705
T00707	blj	Bifidobacterium longum DJO10A
T00794	bln	Bifidobacterium longum subsp. infantis ATCC 15697 (JGI)
T02092	blon	Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo)
T01420	blf	Bifidobacterium longum subsp. infantis 157F
T01240	bll	Bifidobacterium longum subsp. longum JDM301
T01345	blb	Bifidobacterium longum subsp. longum BBMN68
T01419	blm	Bifidobacterium longum subsp. longum JCM 1217
T01845	blk	Bifidobacterium longum subsp. longum KACC 91563
T02580	blg	Bifidobacterium longum subsp. longum F8
T03452	blz	Bifidobacterium longum subsp. longum GT15
T03387	blx	Bifidobacterium longum BXY01
T00437	bad	Bifidobacterium adolescentis ATCC 15703
T03260	badl	Bifidobacterium adolescentis 22L
T03774	bado	Bifidobacterium adolescentis BBMN23
T00819	bla	Bifidobacterium animalis subsp. lactis AD011
T00923	blc	Bifidobacterium animalis subsp. lactis Bl-04
T00924	blt	Bifidobacterium animalis subsp. lactis DSM 10140
T01840	bbb	Bifidobacterium animalis subsp. lactis BB-12
T01841	bbc	Bifidobacterium animalis subsp. lactis BLC1
T01842	bnm	Bifidobacterium animalis subsp. lactis CNCM I-2494
T01843	blv	Bifidobacterium animalis subsp. lactis V9
T02079	blw	Bifidobacterium animalis subsp. lactis B420
T02080	bls	Bifidobacterium animalis subsp. lactis Bi-07
T02712	bani	Bifidobacterium animalis subsp. lactis Bl12
T02862	banl	Bifidobacterium animalis subsp. lactis ATCC 27673
T02047	bni	Bifidobacterium animalis subsp. animalis ATCC 25527
T03481	banm	Bifidobacterium animalis RH
T01143	bde	Bifidobacterium dentium Bd1
T04222	bdn	Bifidobacterium dentium JCM 1195 = DSM 20436
T01340	bbp	Bifidobacterium bifidum PRL2010
T01328	bbi	Bifidobacterium bifidum S17
T02135	bbf	Bifidobacterium bifidum BGN4
T01844	bbv	Bifidobacterium breve ACS-071-V-Sch8b
T02534	bbru	Bifidobacterium breve UCC2003
T03118	bbre	Bifidobacterium breve 12L
T03119	bbrv	Bifidobacterium breve 689b
T03120	bbrj	Bifidobacterium breve JCM 7017
T03121	bbrc	Bifidobacterium breve JCM 7019
T03122	bbrn	Bifidobacterium breve NCFB 2258
T03123	bbrs	Bifidobacterium breve S27
T04525	bbrd	Bifidobacterium breve DSM 20213 = JCM 1192
T02271	bast	Bifidobacterium asteroides
T02505	btp	Bifidobacterium thermophilum
T03236	bcor	Bifidobacterium coryneforme
T03496	bka	Bifidobacterium kashiwanohense PV20-2
T04223	bks	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854
T03931	bcat	Bifidobacterium catenulatum
T03529	bpsp	Bifidobacterium pseudolongum
T03564	bii	Bifidobacterium indicum
T03930	bang	Bifidobacterium angulatum
T03932	bpsc	Bifidobacterium pseudocatenulatum
T03975	bsca	Bifidobacterium scardovii
T04036	bact	Bifidobacterium actinocoloniiforme
T05748	bcho	Bifidobacterium choerinum
T06507	bgx	Bifidobacterium pullorum subsp. gallinarum
T06861	blem	Bifidobacterium lemurum
T06951	beu	Bifidobacterium eulemuris
T07068	bsue	Bifidobacterium subtile
T01344	gvg	Gardnerella vaginalis ATCC 14019
T01146	gva	Gardnerella vaginalis 409-05
T01939	gvh	Gardnerella vaginalis HMP9231
T08320	gpt	Gardnerella piotii
T08402	gsw	Gardnerella swidsinskii
T03977	sij	Scardovia inopinata
T03978	pdo	Parascardovia denticolens
T05020	aey	Actinopolyspora erythraea
T05050	plan	Candidatus Planktophila lacus
T05051	plak	Candidatus Planktophila dulcis
T05067	plim	Candidatus Planktophila limnetica
T05158	psuf	Candidatus Planktophila sulfonica
T05250	pvs	Candidatus Planktophila versatilis
T05319	pvn	Candidatus Planktophila vernalis
T05073	abam	Candidatus Nanopelagicus limnes
T05090	nhi	Candidatus Nanopelagicus hibericus
T05091	nab	Candidatus Nanopelagicus abundans
T06370	eke	Epidermidibacterium keratini
T08151	jtl	Jatrophihabitans telluris
T03963	abai	Actinobacteria bacterium
T00368	rxy	Rubrobacter xylanophilus
T03080	rrd	Rubrobacter radiotolerans
T06510	rub	Rubrobacter tropicus
T07670	rmar	Rubrobacter marinus
T06127	bsol	Baekduia soli
T01153	cwo	Conexibacter woesei
T08278	parn	Paraconexibacter sp. 02-257
T08390	sbae	Capillimicrobium parvum
T00956	afo	Acidimicrobium ferrooxidans
T02501	aym	Ilumatobacter coccineus
T06914	atq	Actinomarinicola tropica
T07304	aqz	Aquihabitans sp. G128
T07394	iam	Iamia sp. SCSIO 61187
T00962	ccu	Cryptobacterium curtum
T00981	shi	Slackia heliotrinireducens
T00984	ele	Eggerthella lenta
T01566	eyy	Eggerthella sp. YY7918
T07376	egd	Eggerthella guodeyinii
T02609	gpa	Gordonibacter pamelaeae
T02875	aeq	Adlercreutzia equolifaciens
T07732	ahat	Adlercreutzia hattorii
T04382	ddt	Denitrobacterium detoxificans
T03545	cbac	Berryella intestinalis
T08072	rts	Raoultibacter timonensis
T08443	ebz	Xiamenia xianingshaonis
T00983	apv	Atopobium parvulum
T01285	ols	Olsenella uli
T04016	olo	Olsenella sp. oral taxon 807
T05797	pcat	Parolsenella catena
T07170	atb	Atopobium sp. oral taxon 416
T07753	tio	Thermophilibacter immobilis
T01453	cgo	Coriobacterium glomerans
T05143	caer	Collinsella aerofaciens
T07953	cstc	Collinsella stercoris
T05860	erz	Egibacter rhizosphaerae
T05999	euz	Euzebya pacifica
T00004	syn	Synechocystis sp. PCC 6803
T02468	syz	Synechocystis sp. PCC 6803
T02098	syy	Synechocystis sp. PCC 6803 GT-S
T01777	syt	Synechocystis sp. PCC 6803 GT-I
T01778	sys	Synechocystis sp. PCC 6803 PCC-N
T01891	syq	Synechocystis sp. PCC 6803 PCC-P
T03386	syj	Synechocystis sp. PCC 6714
T05368	syo	Synechocystis sp. IPPAS B-1465
T00163	syc	Synechococcus elongatus PCC6301
T03581	syu	Synechococcus elongatus UTEX 2973
T00300	syf	Synechococcus elongatus PCC7942
T00292	syd	Synechococcus sp. CC9605
T00293	sye	Synechococcus sp. CC9902
T00390	syg	Synechococcus sp. CC9311
T00523	syr	Synechococcus sp. RCC307
T00524	syx	Synechococcus sp. WH 7803
T00664	syp	Synechococcus sp. PCC7002
T00318	cya	Synechococcus sp. JA-3-3Ab
T00319	cyb	Synechococcus sp. JA-2-3B'a(2-13)
T02370	syne	Synechococcus sp. PCC 6312
T02371	synp	Synechococcus sp. PCC 7502
T03344	synk	Synechococcus sp. KORDI-100
T03345	synr	Synechococcus sp. KORDI-49
T03346	synd	Synechococcus sp. KORDI-52
T03783	syh	Synechococcus sp. WH 8109
T04859	synw	Synechococcus sp. WH 8103
T05693	syv	Synechococcus sp. PCC 73109
T05991	syl	Synechococcus sp. PCC 7003
T06409	sync	Synechococcus sp. CB0101
T08413	syny	Synechococcus sp. SynAce01
T02378	dsl	Dactylococcopsis salina
T00144	syw	Parasynechococcus marenigrum
T02359	cgc	Cyanobium gracile
T04888	cyi	Cyanobium sp. NIES-981
T00137	pma	Prochlorococcus marinus subsp. marinus CCMP1375
T00142	pmm	Prochlorococcus marinus subsp. pastoris CCMP1986
T00143	pmt	Prochlorococcus marinus MIT 9313
T00267	pmn	Prochlorococcus marinus NATL2A
T00297	pmi	Prochlorococcus marinus MIT 9312
T00464	pmb	Prochlorococcus marinus AS9601
T00465	pmc	Prochlorococcus marinus MIT 9515
T00466	pmf	Prochlorococcus marinus MIT 9303
T00488	pmg	Prochlorococcus marinus MIT 9301
T00598	pmh	Prochlorococcus marinus MIT 9215
T00616	pmj	Prochlorococcus marinus MIT 9211
T00467	pme	Prochlorococcus marinus NATL1A
T03304	prc	Prochlorococcus sp. MIT 0604
T03316	prm	Prochlorococcus sp. MIT 0801
T02414	cmp	Chamaesiphon minutus
T00617	amr	Acaryochloris marina
T05980	tvn	Thermostichus vulcanus
T05303	slw	Thermostichus lividus
T00090	tel	Thermosynechococcus vestitus
T02977	thn	Thermosynechococcus sp. NK55
T06232	thec	Thermosynechococcus sp. CL-1
T02361	lep	Leptolyngbya sp. PCC 7376
T04199	len	Leptolyngbya sp. NIES-3755
T04251	let	Leptolyngbya sp. O-77
T04848	lbo	Leptolyngbya boryana
T07518	kov	Kovacikia minuta
T07779	lsc	Leptodesmis sichuanensis
T07904	lsk	Leptothermofonsia sichuanensis
T04928	hhg	Halomicronema hongdechloris
T02369	pseu	Pseudanabaena sp. PCC 7367
T05820	pser	Pseudanabaena sp. ABRG5-3
T06607	theu	Thermoleptolyngbya sichuanensis
T02400	glp	Gloeocapsa sp. PCC 7428
T04142	gen	Geminocystis sp. NIES-3709
T04168	gee	Geminocystis sp. NIES-3708
T05085	chon	Chondrocystis sp. NIES-4102
T00647	mar	Microcystis aeruginosa
T04037	mpk	Microcystis panniformis
T05365	miq	Microcystis sp. MC19
T06032	mvz	Microcystis viridis
T02376	can	Cyanobacterium aponinum
T02377	csn	Cyanobacterium stanieri
T05309	cyl	Cyanobacterium sp. HL-69
T02379	hao	Halothece sp. PCC 7418
T06117	enn	Euhalothece natronophila
T01159	cyu	Candidatus Atelocyanobacterium thalassa
T00686	cyt	Crocosphaera subtropica
T05097	cwa	Crocosphaera watsonii
T00806	cyp	Rippkaea orientalis PCC 8801
T00968	cyh	Rippkaea orientalis PCC 8802
T00808	cyc	Gloeothece citriformis
T01310	cyj	Gloeothece verrucosa
T00836	cyn	Cyanothece sp. PCC 7425
T00387	ter	Trichodesmium erythraeum
T02608	arp	Arthrospira platensis
T05658	pagh	Planktothrix agardhii
T08299	ppsu	Planktothrix pseudagardhii
T06528	oxy	Oxynema aestuarii
T08026	mvag	Microcoleus vaginatus
T06534	lfs	Limnospira fusiformis
T02374	mic	Allocoleopsis franciscana
T02366	gei	Geitlerinema sp. PCC 7407
T02368	oac	Oscillatoria acuminata
T02375	oni	Oscillatoria nigro-viridis
T04499	mpro	Moorea producens
T07578	phor	Phormidium sp. PBR-2020
T08410	pyh	Phormidium yuhuli
T02373	cep	Crinalium epipsammum
T00148	gvi	Gloeobacter violaceus
T02885	glj	Gloeobacter kilaueensis
T07869	gml	Gloeobacter morelensis
T00069	ana	Nostoc sp. PCC 7120
T00713	npu	Nostoc punctiforme
T02362	nos	Nostoc sp. PCC 7107
T02363	nop	Nostoc sp. PCC 7524
T04170	non	Nostoc sp. NIES-3756
T05266	nfl	Nostoc flagelliforme
T05285	noe	Nostoc sp. CENA543
T06325	nsh	Nostoc sphaeroides
T07001	ned	Nostoc edaphicum
T00277	ava	Trichormus variabilis
T01260	naz	'Nostoc azollae' 0708
T02341	anb	Anabaena sp. 90
T02435	acy	Anabaena cylindrica
T04059	awa	Anabaena sp. WA102
T06262	ann	Anabaena sp. YBS01
T02398	csg	Cylindrospermum stagnale
T07308	rsin	Richelia sinica
T02358	calo	Calothrix sp. PCC 7507
T02372	calt	Calothrix sp. PCC 6303
T03937	calh	Calothrix sp. 336/3
T08374	caln	Calothrix sp. NIES-2098
T02364	riv	Rivularia sp. PCC 7116
T04195	fis	Fischerella sp. NIES-3754
T05403	nsp	Nodularia spumigena
T08134	nsph	Nodularia sphaerocarpa
T06185	dou	Dolichospermum sp. UHCC 0315A
T06652	dfs	Dolichospermum flos-aquae
T06771	ccur	Cylindrospermopsis curvispora
T08337	crk	Cylindrospermopsis raciborskii
T07103	aflo	Aphanizomenon flos-aquae
T06504	toq	Tolypothrix sp. PCC 7910
T04905	ncn	Nostocales cyanobacterium HT-58-2
T02360	cthe	Chroococcidiopsis thermalis
T02367	plp	Pleurocapsa sp. PCC 7327
T02406	scs	Stanieria cyanosphaera
T05130	stan	Stanieria sp. NIES-3757
T03622	ceo	Cyanobacterium endosymbiont of Epithemia turgida
T05747	cer	Cyanobacterium endosymbiont of Rhopalodia gibberula
T04546	mbf	Candidatus Melainabacteria bacterium MEL.A1
